 BCID  ToA     TDC     Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z  tube_rho  drift_radius  
 1262  42177   41568   1            1                  3           1          2             12482   154776    112           
 1262  42178   41569   1            1                  5           1          2             12482   155608    113           
 1262  42182   41573   1            1                  0           1          2             12482   148391    120           
 1262  42183   41574   1            1                  5           1          1             12482   117832    132           
 1253  42186   41577   192          48                 3           3          2             381867  154776    307           
 1262  42187   41578   1            1                  2           1          2             12482   149223    125           
 1264  42189   41580   134          2                  7           5          0             296965  82032     74            
 1262  42197   41588   1            1                  3           1          1             12482   117000    147           
 1264  42202   41593   125          29                 1           4          0             277504  76751     92            
 1262  42208   41599   192          24                 5           4          1             383093  117832    152           
 1253  42212   41603   94           28                 5           3          0             206143  81200     329           
 1264  42220   41611   124          28                 0           4          0             276543  76334     113           
 1264  42223   41614   287          15                 3           5          2             566753  154776    84            
 1253  42235   41626   88           22                 1           3          0             193649  76751     338           
 1262  42266   41657   109          13                 2           4          0             247710  77167     211           
 1262  42267   41658   117          21                 6           4          0             262127  81616     211           
 1264  42272   41663   287          15                 4           5          2             567714  155192    140           
 1262  42273   41664   0            0                  1           1          1             11521   111031    211           
 1262  42276   41667   258          58                 4           4          2             510851  155192    198           
 1253  42281   41672   94           28                 4           3          0             205182  80783     355           
 1262  42295   41686   247          47                 1           4          2             489706  148807    213           
 1253  42303   41694   88           22                 2           3          0             194610  77167     363           
 1262  42329   41720   190          22                 3           4          1             379249  117000    242           
 1262  42354   41745   1            1                  2           1          1             12482   111447    260           
 1264  42359   41750   127          31                 3           4          0             281349  77583     230           
 1262  42365   41756   179          11                 1           4          1             359065  111031    263           
 1264  42369   41760   202          34                 1           4          1             403277  111031    229           
 1264  42377   41768   274          2                  0           5          2             541764  148391    226           
 1253  42388   41779   89           23                 3           3          0             195571  77583     391           
 1264  42392   41783   215          7                  5           5          1             428495  117832    242           
 1262  42393   41784   1            1                  0           1          1             12482   110615    280           
 1264  42394   41785   132          0                  5           5          0             293121  81200     250           
 1264  42408   41799   213          5                  4           5          1             425612  117416    251           
 1272  42408   41799   64           34                 1           2          0             146316  76751     34            
 1264  42418   41809   134          2                  6           5          0             296004  81616     263           
 1272  42419   41810   108          52                 4           2          1             220277  117416    31            
 1272  42425   41816   64           34                 2           2          0             147277  77167     53            
 1264  42429   41820   275          3                  1           5          2             544647  148807    257           
 1272  42442   41833   103          47                 2           2          1             209705  111447    59            
 1264  42443   41834   201          33                 0           4          1             400393  110615    271           
 1272  42444   41835   53           53                 5           1          1             112438  117832    66            
 1272  42446   41837   68           2                  7           3          0             156165  82032     76            
 1272  42449   41840   141          69                 4           2          2             283675  155192    51            
 1272  42460   41851   26           26                 1           2          0             72058   76751     99            
 1272  42460   41851   49           49                 1           1          1             105710  111031    87            
 1272  42462   41853   57           27                 1           2          0             132860  76751     101           
 1272  42463   41854   28           28                 4           2          0             75902   80783     101           
 1262  42466   41857   181          13                 2           4          1             361949  111447    311           
 1272  42466   41857   72           0                  3           2          2             150080  154776    80            
 1272  42469   41860   108          52                 3           2          1             219316  117000    89            
 1264  42470   41861   125          29                 2           4          0             278466  77167     290           
 1272  42471   41862   142          70                 5           2          2             284636  155608    76            
 1272  42472   41863   69           69                 0           1          2             143194  148391    89            
 1272  42474   41865   63           33                 0           2          0             145355  76334     111           
 1272  42497   41888   65           35                 3           2          0             148238  77583     136           
 1262  42500   41891   191          23                 4           4          1             382132  117416    324           
 1253  42513   41904   90           24                 3           3          0             197493  77583     429           
 1272  42515   41906   109          53                 5           2          1             221238  117832    141           
 1272  42524   41915   68           2                  6           3          0             155204  81616     162           
 1262  42530   41921   246          46                 0           4          2             486823  148391    331           
 1272  42539   41930   28           28                 5           2          0             76863   81200     179           
 1272  42539   41930   56           26                 3           2          0             130938  77583     179           
 1272  42541   41932   102          46                 1           2          1             208744  111031    168           
 1272  42544   41935   26           26                 2           2          0             73019   77167     184           
 1262  42550   41941   0            0                  4           1          1             11521   117416    345           
 1272  42555   41946   49           49                 0           1          1             104749  110615    185           
 1272  42559   41950   57           27                 0           2          0             133821  76334     196           
 1272  42564   41955   69           69                 1           1          2             144155  148807    183           
 1272  42565   41956   141          69                 3           2          2             282714  154776    176           
 1262  42566   41957   260          60                 5           4          2             513734  155608    344           
 1272  42576   41967   52           52                 4           1          1             111477  117416    200           
 1262  42578   41969   117          21                 7           4          0             263088  82032     358           
 1272  42582   41973   28           28                 7           2          0             76863   82032     211           
 1262  42583   41974   110          14                 3           4          0             248671  77583     360           
 1264  42608   41999   289          17                 5           5          2             570598  155608    336           
 1262  42611   42002   1            1                  1           1          2             13443   148807    364           
 1253  42616   42007   89           23                 2           3          0             196532  77167     457           
 1262  42632   42023   1            1                  4           1          2             13443   155192    370           
 1272  42632   42023   67           1                  5           3          0             154243  81200     240           
 1253  42642   42033   93           27                 4           3          0             203260  80783     464           
 1262  42657   42048   118          22                 7           4          0             265010  82032     385           
 1262  42669   42060   111          15                 3           4          0             250593  77583     389           
 1264  42675   42066   288          16                 5           5          2             568675  155608    361           
 1272  42683   42074   136          64                 0           2          2             273103  148391    256           
 1262  42686   42077   259          59                 5           4          2             511812  155608    386           
 1272  42700   42091   102          46                 0           2          1             207783  110615    272           
 1262  42710   42101   247          47                 0           4          2             488745  148391    394           
 1272  42719   42110   55           25                 2           2          0             129977  77167     288           
 1262  42756   42147   190          22                 4           4          1             380210  117416    412           
 1264  42773   42164   133          1                  6           5          0             294082  81616     401           
 1272  42798   42189   67           1                  4           3          0             153282  80783     321           
 1262  42809   42200   180          12                 2           4          1             360026  111447    428           
 1272  42821   42212   72           0                  4           2          2             151041  155192    323           
 1264  42846   42237   126          30                 2           4          0             280388  77167     424           
 1264  42856   42247   166          54                 1           3          1             332922  111031    424           
