 BCID  ToA     nTC  TC_sent  TC_id  Eta              Phi            pT_thr  Charge  Coincidence  z_RPC0  z_RPC1  z_RPC2  z_RPC3  event  
 1926  63776   1    1        0      0.432697325945   973.84564209   20      0       4            0       3055    3346    4292    22324  
 1933  64000   1    1        0      0.314329832792   1003.06298828  20      0       5            1632    2139    2324    2970    21025  
 1980  65504   1    1        0      0.794556617737   571.800109863  20      0       2            4496    6026    0       8656    19124  
 1982  65568   1    1        0      0.904139876366   656.105834961  20      0       5            5263    7011    7628    9927    17826  
 1987  65728   1    1        0      0.40440261364    990.714599609  20      1       5            2121    2843    3134    4122    8936   
 1987  65728   1    1        0      0.917730152607   841.802368164  20      1       3            5365    0       7958    10488   1692   
 1989  65792   1    1        0      0.0682367756963  794.057189941  20      0       5            347     465     492     620     8010   
 1992  65888   1    1        0      0.343116134405   973.944030762  20      1       5            1797    2457    2697    3578    20803  
 2017  66688   1    1        0      0.346969783306   969.628601074  20      1       5            1819    2457    2684    3544    23832  
 2022  66848   1    1        0      0.635821044445   734.677429199  20      1       5            3478    4609    5099    6850    11956  
 2028  67040   1    1        0      0.21771299839    969.791137695  20      0       5            1127    1501    1646    2146    9156   
 2050  67744   1    1        0      0.386413067579   547.458251953  20      0       2            2019    2684    0       3918    5780   
 2065  68224   1    1        0      0.504587233067   990.344848633  20      1       5            2692    3600    3971    5280    11483  
 2070  68384   1    1        0      0.996136844158   820.116333008  20      0       5            5961    7989    8694    11375   12948  
 2125  70144   1    1        0      0.145154997706   720.442932129  20      1       5            750     1010    1116    1466    23942  
 2177  71808   1    1        0      0.310013383627   940.174316406  20      0       5            1599    2139    2351    3004    9192   
 2185  72064   1    1        0      0.326416254044   789.730895996  20      0       5            1694    2245    2457    3208    2515   
 2203  72640   1    1        0      0.934147238731   716.149353027  20      1       5            5483    7378    8140    10881   24583  
 2205  72704   1    1        0      0.652958631516   640.05480957   20      0       2            3577    4768    0       6850    16401  
 2254  74272   1    1        0      0.313979834318   798.39239502   20      0       5            1635    2165    2377    3038    19085  
 2270  74784   1    1        0      0.200640127063   738.005249023  20      0       5            1025    1355    1487    1908    18337  
 2275  74944   1    1        0      0.153726667166   746.81262207   20      1       5            797     1063    1196    1636    14449  
