 BCID  TDC     Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z   tube_rho  drift_radius  
 2229  72597   35           35                 2           1          1             -93199   111447    203           
 2229  72597   35           35                 2           1          1             -93199   111447    203           
 2229  72599   37           37                 3           1          1             -97043   117000    203           
 2229  72599   37           37                 3           1          1             -97043   117000    203           
 2229  72657   24           24                 7           2          0             -69175   82032     247           
 2229  72657   24           24                 7           2          0             -69175   82032     247           
 2229  72699   24           24                 4           2          0             -68214   80783     270           
 2229  72699   24           24                 4           2          0             -68214   80783     270           
 2229  72716   22           22                 2           2          0             -65331   77167     279           
 2229  72716   22           22                 2           2          0             -65331   77167     279           
 2229  72786   38           38                 4           1          2             -130647  155192    300           
 2229  72786   38           38                 4           1          2             -130647  155192    300           
 2229  72850   21           21                 0           2          0             -63409   76334     337           
 2229  72850   21           21                 0           2          0             -63409   76334     337           
 2229  72908   38           38                 5           1          2             -129686  155608    349           
 2229  72908   38           38                 5           1          2             -129686  155608    349           
 2229  72910   22           22                 3           2          0             -64370   77583     359           
 2229  72910   22           22                 3           2          0             -64370   77583     359           
 2229  72941   23           23                 5           2          0             -67253   81200     369           
 2229  72941   23           23                 5           2          0             -67253   81200     369           
 2229  73060   38           38                 5           1          1             -98966   117832    404           
 2229  73060   38           38                 5           1          1             -98966   117832    404           
 2229  73068   34           34                 0           1          1             -91277   110615    407           
 2229  73068   34           34                 0           1          1             -91277   110615    407           
 2339  76346   97           1                  0           4          0             -224644  76334     327           
 2339  76346   97           1                  0           4          0             -224644  76334     327           
 2339  76690   98           2                  0           4          0             -226566  76334     439           
 2339  76690   98           2                  0           4          0             -226566  76334     439           
 2549  82654   57           9                  2           2          1             -136661  111447    22            
 2549  82654   57           9                  2           2          1             -136661  111447    22            
 2549  82696   37           7                  2           2          0             -95377   77167     81            
 2549  82696   37           7                  2           2          0             -95377   77167     81            
 2549  82719   63           15                 1           2          2             -179875  148807    88            
 2549  82719   63           15                 1           2          2             -179875  148807    88            
 2549  82724   40           10                 4           2          0             -100183  80783     113           
 2549  82724   40           10                 4           2          0             -100183  80783     113           
 2549  82725   61           13                 5           2          1             -144350  117832    104           
 2549  82725   61           13                 5           2          1             -144350  117832    104           
 2549  82730   67           19                 4           2          2             -187564  155192    99            
 2549  82730   67           19                 4           2          2             -187564  155192    99            
 2549  82747   60           12                 4           2          1             -143388  117416    129           
 2549  82747   60           12                 4           2          1             -143388  117416    129           
 2549  82748   38           8                  3           2          0             -96338   77583     140           
 2549  82748   38           8                  3           2          0             -96338   77583     140           
 2549  82761   40           10                 7           2          0             -101144  82032     152           
 2549  82761   40           10                 7           2          0             -101144  82032     152           
 2549  82769   67           19                 3           2          2             -186603  154776    143           
 2549  82769   67           19                 3           2          2             -186603  154776    143           
 2549  82781   64           16                 2           2          2             -180836  149223    156           
 2549  82781   64           16                 2           2          2             -180836  149223    156           
 2549  82849   56           8                  1           2          1             -135700  111031    217           
 2549  82849   56           8                  1           2          1             -135700  111031    217           
 2549  83002   37           7                  1           2          0             -94416   76751     303           
 2549  83002   37           7                  1           2          0             -94416   76751     303           
 2549  83054   63           15                 0           2          2             -178914  148391    318           
 2549  83054   63           15                 0           2          2             -178914  148391    318           
 2549  83073   68           20                 5           2          2             -188525  155608    325           
 2549  83073   68           20                 5           2          2             -188525  155608    325           
 2549  83079   40           10                 5           2          0             -101144  81200     334           
 2549  83079   40           10                 5           2          0             -101144  81200     334           
 2549  83153   60           12                 3           2          1             -142427  117000    359           
 2549  83153   60           12                 3           2          1             -142427  117000    359           
 2549  83177   40           10                 6           2          0             -100183  81616     370           
 2549  83177   40           10                 6           2          0             -100183  81616     370           
 2549  83274   37           7                  0           2          0             -95377   76334     402           
 2549  83274   37           7                  0           2          0             -95377   76334     402           
 2549  83418   56           8                  0           2          1             -134738  110615    441           
 2549  83418   56           8                  0           2          1             -134738  110615    441           
 2788  90298   79           31                 3           2          1             -178950  117000    14            
 2788  90298   79           31                 3           2          1             -178950  117000    14            
 2788  90324   98           50                 5           2          2             -246192  155608    35            
 2788  90324   98           50                 5           2          2             -246192  155608    35            
 2788  90331   92           44                 2           2          2             -234659  149223    45            
 2788  90331   92           44                 2           2          2             -234659  149223    45            
 2788  90359   97           49                 4           2          2             -245231  155192    75            
 2788  90359   97           49                 4           2          2             -245231  155192    75            
 2788  90387   51           21                 4           2          0             -121328  80783     129           
 2788  90387   51           21                 4           2          0             -121328  80783     129           
 2788  90399   79           31                 4           2          1             -179911  117416    133           
 2788  90399   79           31                 4           2          1             -179911  117416    133           
 2788  90400   47           17                 0           2          0             -114600  76334     144           
 2788  90400   47           17                 0           2          0             -114600  76334     144           
 2788  90421   91           43                 1           2          2             -233698  148807    147           
 2788  90421   91           43                 1           2          2             -233698  148807    147           
 2788  90435   74           26                 2           2          1             -169339  111447    169           
 2788  90435   74           26                 2           2          1             -169339  111447    169           
 2788  90457   97           49                 3           2          2             -244270  154776    179           
 2788  90457   97           49                 3           2          2             -244270  154776    179           
 2788  90535   91           43                 0           2          2             -232737  148391    235           
 2788  90535   91           43                 0           2          2             -232737  148391    235           
 2788  90564   80           32                 5           2          1             -180872  117832    256           
 2788  90564   80           32                 5           2          1             -180872  117832    256           
 2788  90610   51           21                 5           2          0             -122289  81200     284           
 2788  90610   51           21                 5           2          0             -122289  81200     284           
 2788  90633   73           25                 1           2          1             -168378  111031    291           
 2788  90633   73           25                 1           2          1             -168378  111031    291           
 2788  90634   48           18                 3           2          0             -115561  77583     296           
 2788  90634   48           18                 3           2          0             -115561  77583     296           
 2788  90645   48           18                 1           2          0             -115561  76751     301           
 2788  90645   48           18                 1           2          0             -115561  76751     301           
 2788  90689   51           21                 7           2          0             -122289  82032     319           
 2788  90689   51           21                 7           2          0             -122289  82032     319           
 2788  91000   73           25                 0           2          1             -167416  110615    422           
 2788  91000   73           25                 0           2          1             -167416  110615    422           
 2788  91030   52           22                 6           2          0             -123250  81616     433           
 2788  91030   52           22                 6           2          0             -123250  81616     433           
 2788  91092   48           18                 2           2          0             -116522  77167     450           
 2788  91092   48           18                 2           2          0             -116522  77167     450           
 2788  91095   47           17                 2           2          0             -114600  77167     451           
 2788  91095   47           17                 2           2          0             -114600  77167     451           
 2964  95957   189          27                 4           6          0             -402941  80783     42            
 2964  95957   189          27                 4           6          0             -402941  80783     42            
 2964  95959   181          19                 3           6          0             -387563  77583     46            
 2964  95959   181          19                 3           6          0             -387563  77583     46            
 2964  95963   266          26                 1           6          1             -544060  111031    35            
 2964  95963   266          26                 1           6          1             -544060  111031    35            
 2964  95979   334          14                 1           6          2             -705313  148807    37            
 2964  95979   334          14                 1           6          2             -705313  148807    37            
 2964  95995   349          29                 5           6          2             -733185  155608    52            
 2964  95995   349          29                 5           6          2             -733185  155608    52            
 2964  96007   191          29                 6           6          0             -406785  81616     100           
 2964  96007   191          29                 6           6          0             -406785  81616     100           
 2964  96011   179          17                 1           6          0             -383719  76751     107           
 2964  96011   179          17                 1           6          0             -383719  76751     107           
 2964  96027   282          42                 5           6          1             -573855  117832    107           
 2964  96027   282          42                 5           6          1             -573855  117832    107           
 2964  96057   347          27                 3           6          2             -729341  154776    125           
 2964  96057   347          27                 3           6          2             -729341  154776    125           
 2964  96072   177          15                 0           6          0             -380835  76334     170           
 2964  96072   177          15                 0           6          0             -380835  76334     170           
 2964  96086   280          40                 3           6          1             -570010  117000    168           
 2964  96086   280          40                 3           6          1             -570010  117000    168           
 2964  96095   192          30                 7           6          0             -409669  82032     187           
 2964  96095   192          30                 7           6          0             -409669  82032     187           
 2964  96114   281          41                 4           6          1             -572893  117416    191           
 2964  96114   281          41                 4           6          1             -572893  117416    191           
 2964  96171   179          17                 2           6          0             -384680  77167     240           
 2964  96171   179          17                 2           6          0             -384680  77167     240           
 2964  96178   190          28                 5           6          0             -405824  81200     243           
 2964  96178   190          28                 5           6          0             -405824  81200     243           
 2964  96228   335          15                 2           6          2             -706274  149223    257           
 2964  96228   335          15                 2           6          2             -706274  149223    257           
 2964  96254   334          14                 0           6          2             -704352  148391    270           
 2964  96254   334          14                 0           6          2             -704352  148391    270           
 2964  96280   267          27                 2           6          1             -545021  111447    290           
 2964  96280   267          27                 2           6          1             -545021  111447    290           
 2964  96333   348          28                 4           6          2             -732224  155192    306           
 2964  96333   348          28                 4           6          2             -732224  155192    306           
 2964  96344   266          26                 0           6          1             -543099  110615    318           
 2964  96344   266          26                 0           6          1             -543099  110615    318           
 2964  96367   265          25                 0           6          1             -541176  110615    327           
 2964  96367   265          25                 0           6          1             -541176  110615    327           
 2964  96444   268          28                 2           6          1             -546943  111447    356           
 2964  96444   268          28                 2           6          1             -546943  111447    356           
 2964  96471   180          18                 2           6          0             -386602  77167     370           
 2964  96471   180          18                 2           6          0             -386602  77167     370           
 2964  96481   189          27                 5           6          0             -403902  81200     373           
 2964  96481   189          27                 5           6          0             -403902  81200     373           
 2964  96510   347          27                 4           6          2             -730302  155192    373           
 2964  96510   347          27                 4           6          2             -730302  155192    373           
 2964  96618   333          13                 0           6          2             -702430  148391    409           
 2964  96618   333          13                 0           6          2             -702430  148391    409           
