 BCID  ToA     TDC     Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z   tube_rho  drift_radius  
 1019  34721   34112   40           10                 6           2          0             -100183  81616     330           
 1019  34732   34123   72           24                 0           2          2             -196214  148391    326           
 1019  34826   34217   79           31                 1           2          1             -179911  111031    365           
 1019  34828   34219   35           5                  2           2          0             -91533   77167     370           
 1019  34860   34251   77           29                 5           2          2             -205825  155608    372           
 1019  34893   34284   39           9                  7           2          0             -99222   82032     390           
 1019  34900   34291   77           29                 4           2          2             -206787  155192    386           
 1019  34912   34303   35           5                  3           2          0             -90572   77583     397           
 1019  35002   34393   58           10                 0           2          1             -138583  110615    421           
 1019  35031   34422   71           23                 1           2          2             -195253  148807    426           
 1019  35117   34508   36           6                  0           2          0             -93455   76334     456           
 1019  35127   34518   35           5                  0           2          0             -91533   76334     458           
 1019  35169   34560   36           6                  3           2          0             -92494   77583     472           
 1367  45441   44832   11           11                 4           2          0             -43225   80783     27            
 1367  45465   44856   10           10                 1           2          0             -41303   76751     56            
 1367  45483   44874   255          15                 0           6          1             -521954  110615    53            
 1367  45498   44889   339          19                 3           6          2             -713963  154776    51            
 1367  45501   44892   172          10                 3           6          0             -370263  77583     90            
 1367  45508   44899   9            9                  1           1          2             -74902   148807    79            
 1367  45517   44908   5            5                  0           2          0             -32653   76334     121           
 1367  45517   44908   11           11                 5           1          2             -77785   155608    88            
 1367  45520   44911   257          17                 2           6          1             -525799  111447    96            
 1367  45522   44913   11           11                 3           1          2             -77785   154776    94            
 1367  45525   44916   170          8                  1           6          0             -366418  76751     118           
 1367  45531   44922   17           17                 2           1          1             -58599   111447    120           
 1367  45535   44926   270          30                 4           6          1             -551749  117416    111           
 1367  45538   44929   11           11                 7           2          0             -44186   82032     138           
 1367  45543   44934   180          18                 5           6          0             -386602  81200     136           
 1367  45557   44948   325          5                  1           6          2             -688013  148807    123           
 1367  45560   44951   182          20                 7           6          0             -390446  82032     153           
 1367  45561   44952   10           10                 3           2          0             -41303   77583     162           
 1367  45584   44975   341          21                 5           6          2             -717808  155608    149           
 1367  45586   44977   18           18                 4           1          1             -61482   117416    173           
 1367  45598   44989   182          20                 6           6          0             -389485  81616     187           
 1367  45603   44994   168          6                  0           6          0             -363535  76334     192           
 1367  45604   44995   325          5                  0           6          2             -687052  148391    170           
 1367  45615   45006   180          18                 4           6          0             -385641  80783     200           
 1367  45623   45014   270          30                 3           6          1             -550788  117000    195           
 1367  45624   45015   4            4                  0           2          0             -30731   76334     215           
 1367  45626   45017   6            6                  0           2          0             -34575   76334     216           
