sw_slcid,sw_slid,sw_bcid,sw_eta,sw_pt,sw_ptthresh,sw_charge,sw_nsegments,sw_quality,off_pt, off_eta, off_match
1,0,1848,1315,40,20,1,2,0,23.917131,0.638723,1
0,0,1898,2047,61,20,1,3,0,40.570480,0.977957,1
1,0,1898,2047,61,20,1,3,0,40.570480,0.977957,1
0,0,3348,313,73,20,1,3,0,42.289642,0.148882,1
1,0,3348,313,73,20,1,3,0,42.289642,0.148882,1
0,0,98,935,60,20,1,3,0,39.501461,0.453550,1
0,0,1348,127,61,20,-1,2,0,43.338516,0.066604,1
0,0,3398,206,52,20,1,3,0,30.172768,0.089876,1
1,0,3398,206,50,20,1,3,0,30.172768,0.089876,1
0,0,2248,370,46,20,1,3,0,21.586153,0.183393,1
1,0,2248,370,46,20,1,3,0,21.586153,0.183393,1
0,0,3048,1311,36,20,1,3,0,20.188055,0.648796,1
0,0,12,996,114,20,1,3,0,37.940105,0.485467,1
1,0,12,996,108,20,1,3,0,37.940105,0.485467,1
0,0,898,1355,71,20,1,3,0,43.266418,0.648544,1
1,0,898,1355,72,20,1,3,0,43.266418,0.648544,1
0,0,1248,1346,33,15,1,3,0,17.656498,0.651290,1
1,0,1248,1346,34,15,1,3,0,17.656498,0.651290,1
0,0,998,1296,68,20,1,3,0,30.321615,0.630804,1
0,0,1748,737,59,20,1,3,0,36.857624,0.337402,1
1,0,1748,737,72,20,-1,2,0,36.857624,0.337402,1
0,0,2898,74,103,20,-1,2,0,49.900669,0.031892,1
0,0,298,1456,61,20,1,2,0,30.800409,0.725002,1
1,0,298,1456,73,20,1,3,0,30.800409,0.725002,1
0,0,648,2104,15,5,-1,2,0,6.751401,1.027669,1
1,0,648,2104,23,10,-1,2,0,6.751401,1.027669,1
0,0,98,1136,54,20,1,3,0,30.174709,0.556611,1
1,0,98,1136,51,20,1,3,0,30.174709,0.556611,1
0,0,448,1276,39,20,1,3,0,20.255447,0.619792,1
0,0,2498,599,37,20,1,3,0,20.145763,0.277215,1
1,0,2498,599,38,20,1,3,0,20.145763,0.277215,1
0,0,2898,0,0,0,1,0,0,5.045719,0.510229,1
0,0,498,350,105,20,1,3,0,37.680511,0.182671,1
1,0,498,350,102,20,1,3,0,37.680511,0.182671,1
0,0,2098,426,56,20,1,3,0,34.057182,0.201703,1
1,0,2098,426,56,20,1,3,0,34.057182,0.201703,1
0,0,2298,1475,64,20,1,3,0,44.253559,0.719060,1
1,0,2298,1475,67,20,1,3,0,44.253559,0.719060,1
0,0,3248,1928,67,20,1,3,0,43.855858,0.939585,1
1,0,3248,1928,67,20,1,3,0,43.855858,0.939585,1
0,0,2848,1233,70,20,1,3,0,40.289158,0.596994,1
0,0,1298,1222,57,20,1,3,0,36.222469,0.603313,1
1,0,1298,1222,57,20,1,3,0,36.222469,0.603313,1
0,0,1848,1820,129,20,1,3,0,23.147259,0.889042,1
1,0,1848,1820,49,20,1,3,0,23.147259,0.889042,1
0,0,1148,1395,48,20,1,3,0,31.958256,0.682975,1
1,0,1148,1395,48,20,1,3,0,31.958256,0.682975,1
0,0,748,1926,61,20,1,3,0,29.664963,0.928680,1
1,0,748,1926,52,20,1,2,0,29.664963,0.928680,1
0,0,748,222,39,20,1,3,0,50.032253,0.119875,1
1,0,748,222,294,20,1,3,0,50.032253,0.119875,1
0,0,48,344,26,10,1,3,0,13.579574,0.147543,1
1,0,48,344,27,15,-1,2,0,13.579574,0.147543,1
0,0,1948,423,96,20,1,3,0,37.995064,0.211839,1
1,0,1948,423,103,20,1,3,0,37.995064,0.211839,1
0,0,548,2076,42,20,1,3,0,28.022055,0.992724,1
1,0,548,2076,55,20,-1,2,0,28.022055,0.992724,1
0,0,848,234,111,20,1,3,0,43.280819,0.116380,1
1,0,848,234,113,20,1,3,0,43.280819,0.116380,1
0,0,1998,123,81,20,-1,2,0,47.340416,0.066847,1
0,0,1048,601,46,20,1,3,0,28.162580,0.294996,1
1,0,1048,601,47,20,1,3,0,28.162580,0.294996,1
0,0,1498,2054,29,15,1,3,0,23.343672,1.001334,1
1,0,1498,2054,48,20,1,3,0,23.343672,1.001334,1
0,0,2448,1161,48,20,1,3,0,33.580189,0.567909,1
1,0,2448,1161,60,20,1,3,0,33.580189,0.567909,1
0,0,1948,112,40,20,1,2,0,23.385862,0.050754,1
0,0,1798,568,84,20,1,3,0,36.145710,0.283195,1
1,0,1798,568,90,20,1,3,0,36.145710,0.283195,1
0,0,1198,87,52,20,-1,2,0,27.105236,0.039525,1
0,0,798,374,44,20,1,3,0,22.985001,0.180072,1
1,0,798,374,44,20,1,3,0,22.985001,0.180072,1
0,0,2248,1786,47,20,-1,2,0,28.144880,0.840895,1
1,0,2248,1786,53,20,-1,2,0,28.144880,0.840895,1
0,0,1948,653,20,10,1,2,0,8.713554,0.330319,1
0,0,1198,309,323,20,1,3,0,27.513958,0.149147,1
1,0,1198,309,323,20,1,3,0,27.513958,0.149147,1
0,0,1898,1351,25,15,-1,2,0,12.118290,0.662817,1
1,0,1898,1351,23,10,1,3,0,12.118290,0.662817,1
0,0,2648,0,0,0,1,0,0,20.449389,0.432814,1
1,0,2648,909,39,20,1,3,0,20.449389,0.432814,1
0,0,2848,371,24,10,1,3,0,11.310107,0.187138,1
0,0,3398,1151,65,20,1,3,0,32.086590,0.554340,1
1,0,3398,1151,121,20,1,3,0,32.086590,0.554340,1
0,0,2998,97,47,20,1,2,0,24.588516,0.033594,1
0,0,948,69,26,10,1,2,0,15.019823,0.035543,1
0,0,1198,1201,69,20,1,3,0,46.272060,0.591996,1
1,0,1198,1201,69,20,1,3,0,46.272060,0.591996,1
0,0,598,573,48,20,1,3,0,24.938829,0.274099,1
0,0,598,1162,60,20,1,3,0,30.551714,0.566731,1
0,0,398,2039,59,20,1,3,0,28.426796,0.991783,1
1,0,398,2039,49,20,1,2,0,28.426796,0.991783,1
0,0,1098,1046,77,20,1,3,0,30.249334,0.496848,1
1,0,1098,1046,78,20,1,3,0,30.249334,0.496848,1
0,0,1698,1023,34,15,1,3,0,15.228396,0.508850,1
0,0,1998,2114,53,20,1,3,0,31.390566,1.008492,1
0,0,98,0,0,0,1,0,0,13.115435,0.886120,1
0,0,1798,1887,63,20,1,3,0,28.203854,0.909219,1
1,0,1798,1887,65,20,1,3,0,28.203854,0.909219,1
0,0,0,0,0,0,1,0,0,25.644793,1.000831,1
1,0,2198,2073,48,20,1,3,0,25.644793,1.000831,1
0,0,48,545,74,20,1,3,0,32.318027,0.274037,1
0,0,848,199,84,20,1,3,0,38.750111,0.092551,1
1,0,848,199,84,20,1,3,0,38.750111,0.092551,1
0,0,1248,1760,21,10,1,2,0,11.265729,0.850309,1
0,0,2348,1280,55,20,1,3,0,25.655855,0.618694,1
0,0,798,1213,43,20,1,3,0,24.750734,0.581479,1
0,0,2648,1415,34,20,1,2,0,20.368849,0.682361,1
