 BCID  ToA     nTC  TC_sent  TC_id  Eta              Phi            pT_thr  Charge  Coincidence  z_RPC0  z_RPC1  z_RPC2  z_RPC3  event  
 2298  75680   1    1        0      1.0365036726     918.962036133  20      0       5            6284    8383    9206    11956   12219  
 2320  76384   1    1        0      0.798082411289   965.695800781  20      1       5            4489    6114    6673    8979    4676   
 2334  76832   1    1        0      0.574326872826   931.762329102  20      0       5            3099    4157    4530    5913    12701  
 2340  77024   1    1        0      1.01505756378    990.672485352  20      0       5            6108    8171    8876    11620   6664   
 2351  77376   1    1        0      0.0369658172131  570.64642334   20      1       4            0       253     280     416     10737  
 2357  77568   1    1        0      0.40834864974    854.693725586  20      1       5            2143    2843    3134    4190    22444  
 2363  77760   1    1        0      0.510365843773   973.942810059  20      0       5            2725    3653    3998    5209    2602   
 2377  78208   1    1        0      0.592104434967   555.685668945  20      0       2            3209    4276    0       6019    3657   
 2411  79296   1    1        0      0.0253874622285  563.200073242  20      0       4            0       174     200     212     970    
 2412  79328   1    1        0      0.27275493741    750.720947266  20      0       5            1401    1874    2059    2630    15475  
 2421  79616   1    1        0      0.475600302219   974.071655273  20      1       5            2525    3373    3759    4962    23539  
 2445  80384   1    1        0      0.123778738081   906.019836426  20      0       5            644     836     889     1130    18421  
 2446  80416   1    1        0      0.638385653496   652.880737305  20      0       5            3489    4636    5099    6748    21218  
 2452  80608   1    1        0      0.82603687048    563.84942627   20      1       2            4711    6320    0       9200    19497  
 2464  80992   1    1        0      0.0330004878342  696.440063477  20      0       4            0       227     227     212     17159  
 2469  81152   1    1        0      0.217467561364   798.394958496  20      1       2            1127    1514    0       2282    4931   
 2495  81984   1    1        0      0.845956861973   893.416503906  20      0       2            4850    6423    0       9166    8993   
 2501  82176   1    1        0      0.226032346487   927.477050781  20      1       5            1171    1580    1779    2409    9084   
 2502  82208   1    1        0      0.993736624718   703.049865723  20      0       5            5939    7913    8618    11287   2146   
 2509  82432   1    1        0      0.834954738617   871.994384766  20      1       5            4777    6423    7040    9455    18405  
 2512  82528   1    1        0      1.03883755207    763.730407715  20      0       3            6306    0       9291    12132   4658   
 2523  82880   1    1        0      0.731376290321   630.489685059  20      0       5            4071    5423    5879    7594    6689   
 2531  83136   1    1        0      0.904139876366   656.105834961  20      0       5            5263    7011    7628    9927    17826  
 2586  84896   1    1        0      0.987067162991   897.71673584   20      1       2            5895    7898    0       11462   17426  
 2632  86368   1    1        0      0.724818825722   580.042053223  20      0       3            4027    0       5864    7628    21005  
 2650  86944   1    1        0      0.996136844158   820.116333008  20      0       5            5961    7989    8694    11375   12948  
 2654  87072   1    1        0      0.310013383627   940.174316406  20      0       5            1599    2139    2351    3004    9192   
 2664  87392   1    1        0      0.175107762218   927.522888184  20      0       5            907     1196    1302    1704    18787  
 2673  87680   1    1        0      0.917730152607   841.802368164  20      1       3            5365    0       7958    10488   1692   
 2679  87872   1    1        0      0.635531723499   758.560852051  20      1       4            0       4649    5099    6833    9317   
 2682  87968   1    1        0      0.33501124382    994.83770752   20      1       5            1745    2351    2589    3476    12176  
 2689  88192   1    1        0      0.359122365713   567.930419922  20      0       5            1870    2510    2737    3578    20450  
 2714  88992   1    1        0      0.162216052413   889.047363281  20      1       5            841     1116    1222    1636    7829   
 2760  90464   1    1        0      0.196301430464   927.438049316  20      1       1            1014    1381    1540    0       10294  
 2771  90816   1    1        0      0.306034713984   729.08581543   20      0       5            1591    2112    2324    3038    1389   
 2775  90944   1    1        0      0.706298291683   838.421691895  20      1       5            3913    5291    5791    7713    8384   
 2819  92352   1    1        0      0.343116134405   973.944030762  20      1       5            1797    2457    2697    3578    20803  
 2844  93152   1    1        0      0.166596919298   940.279602051  20      1       5            856     1143    1275    1704    16511  
 2864  93792   1    1        0      0.145087972283   686.034484863  20      0       5            739     984     1063    1364    7991   
 2875  94144   1    1        0      0.794556617737   571.800109863  20      0       2            4496    6026    0       8656    19124  
 2883  94400   1    1        0      0.221824362874   998.847717285  20      0       5            1135    1514    1660    2112    16093  
 2898  94880   1    1        0      0.611490607262   782.133239746  20      1       4            0       4463    4927    6476    2219   
 2901  94976   1    1        0      0.162196338177   639.104370117  20      1       5            827     1116    1222    1636    13732  
 2915  95424   1    1        0      1.00762045383    820.127441406  20      1       5            6049    8110    8891    11762   8864   
 2919  95552   1    1        0      0.297484785318   871.830993652  20      1       5            1547    2073    2298    3038    4867   
 2925  95744   1    1        0      0.251436978579   914.774230957  20      0       5            1296    1726    1900    2494    13838  
 2945  96384   1    1        0      0.33988314867    889.141296387  20      0       4            0       2377    2589    3259    20769  
 2956  96736   1    1        0      0.747605621815   746.416870117  20      1       5            4181    5600    6129    8087    17232  
 2969  97152   1    1        0      0.926449716091   846.111877441  20      0       2            5431    7261    0       10335   24361  
 2995  97984   1    1        0      0.18793746829    703.184387207  20      0       5            973     1275    1381    1789    17210  
 3015  98624   1    1        0      0.806440889835   742.13293457   20      1       1            4579    6144    6761    0       24053  
 3032  99168   1    1        0      0.574329733849   961.330444336  20      1       5            3099    4157    4556    6019    329    
 3073  100480  1    1        0      0.115836940706   571.885009766  20      1       5            603     863     942     1296    15548  
 3116  101856  1    1        0      0.859157979488   542.78704834   20      1       2            4945    6687    0       9638    17453  
 3122  102048  1    1        0      0.347111403942   961.3125       20      0       5            1804    2404    2616    3410    12200  
 3128  102240  1    1        0      0.175113320351   871.905395508  20      1       5            907     1209    1342    1789    13888  
 3138  102560  1    1        0      0.934147238731   716.149353027  20      1       5            5483    7378    8140    10881   24583  
 3152  103008  1    1        0      0.498421788216   755.079589844  20      1       5            2659    3505    3892    5174    3712   
 3160  103264  1    1        0      0.111512966454   576.05871582   20      0       5            581     757     810     994     2447   
